k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,433361.99778352294,0.2695285008651496,14547.473819427256,1.7345524456700703
3,336689.5141402175,0.32052570045758066,16142.944387941277,1.2520968628956852
4,255090.32596810922,0.3592360818808288,19240.48266482043,1.1065295752869504
5,204375.56741376038,0.3882908010856098,20940.835336738328,0.9875443519934299
6,167975.23178933002,0.4083084916066594,22429.504422701568,0.9544290431333512
7,155603.06440647054,0.3858078698543032,20802.858728210176,1.0302726555284347
8,145379.75933288038,0.3821125506280574,19558.967997788888,1.0929539771952066
9,136974.9629833418,0.36169396037031304,18526.09086514558,1.1431103807724137
10,129491.4908227826,0.3327209797533646,17722.200099010635,1.2817158231752608
11,126525.71733513489,0.31955339540110955,16434.19660772677,1.2059139913581438
12,118449.5771864358,0.2904810320973038,16251.200385277587,1.3995849976135808
