,mean_abs_shap
credit_score,1.0068816
age,0.51112044
avg_monthly_spend,0.27060634
city_tier_code,0.1758087
total_card_limit,0.11218028
income_to_limit_ratio,0.04562774
utilization_ratio,0.031969447
repayment_discipline,0.031864658
digital_savviness,0.0239586
premium_card_flag,0.023316294
upi_credit_adoption,0.015015813
reward_engagement,0.012605095
annual_income_lakhs,0.010084449
spend_volatility,0.0047770115
card_diversity,0.0010040983
missed_payment_flag,0.0
emi_propensity,0.0
num_cards,0.0
gender_code,0.0
