series,model,order,seasonal_order,aic,mape,rmse,mae
cluster_0,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-6.5,0.08245154285614902,89500391.74730887,75285414.25256658
cluster_0,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-23.2,0.09327289985059055,93443001.14891641,83115584.61889227
cluster_1,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-8.9,0.08897231761890377,22774249.581509583,19224905.56077082
cluster_1,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-25.4,0.09137148892142359,21913552.045592535,19221311.700618226
cluster_2,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-8.5,0.08962572672033524,19240725.867924724,16291036.42385611
cluster_2,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-24.7,0.0907606064246105,18425591.96336018,16030681.342586061
cluster_3,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-7.0,0.0847454157557677,35042622.43334511,29496060.181362152
cluster_3,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-23.7,0.09548866981899806,35503975.96897843,32574609.867064416
cluster_4,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-9.9,0.0933825636152585,3473364.547075069,2960242.3358924477
cluster_4,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-26.0,0.09038225492616005,3222293.862731316,2782254.465696145
cluster_5,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-8.0,0.08631616644628155,209259384.67596486,175429747.98055878
cluster_5,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-24.0,0.0974720528387027,216743084.18948478,193257392.99189696
Overall,ARIMA,"(0, 0, 1)","(0, 0, 0, 0)",-7.6,0.0855891883764049,379227542.5493472,318651815.9094265
Overall,SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",-24.2,0.09202719037743366,377319686.54372066,334174838.77313185
